电影名称,年份,上映时间,电影类型,电影时长,评分,语言,制作组,简介
新世纪福音战士剧场版：Air / 真心为你,(1997),1997-07-19 (JP),动画、科幻、剧情、奇幻,1h 27m,83,日语,"{'庵野秀明': 'Director, Screenplay', '鹤卷和哉': 'Director'}",《新世纪福音战士》系列第二部剧场版，于 1997 年 7 月 19 日在日本上映。全名：《新世纪福音战士剧场版：THE END OF EVANGELION》（日语：新世紀エヴァンゲリオン 劇場版 THE END OF EVANGELION - Air/まごころを、君に，英语：NEON GENESIS EVANGELION: THE END OF EVANGELION - AIR/SINCERELY YOURS）。剧情承接 TV 动画版第 24 集，包括了重新制作的第 25 、第 26 话。在这部剧场版中第 25 话的名字是 “AIR”（天空），而副标题是 “LOEV IS DESTRUCTIVE”（爱是一种伤害）；第 26 话的名字是 “YOUR SINCERELY”（真心为你），副标题是“ONE MORE FINAL: I NEED YOU”（再说最后一遍：我需要你）。剧场版的每一话都和电视版一样有一个 “EYE - CATCH” 镜头（即每集中间那个黑底白字的英文标题）。这部剧场版标志着整个旧世纪《新世纪福音战士》的终结。影片分成 “Air” 与 “真心为你” 两个部分。神秘的 EVA 零号机驾驶员绫波丽，在与碇元渡约定之时，来到了 NERV 底层中央教条的红色水池边。她的命运似乎就将在此结束。在危急时刻，葛城美里不但要完成加持良治交待的对“第二次浩劫”真相以及“人类补完计划”的探查工作，还要保护碇真嗣与明日香，以及防备 SEELE 对初号机与二号机的物理接触。出于对碇元渡的憎恨，赤木律子接受了 SEELE 引爆 MAGI 的提案，她能否成功 ？长期与 SEELE 共事的碇元度、冬月耕造、碇唯，为了防止人类“最终的悲剧”，而酝酿了的“人类补完计划”能否实现 ？尽在《新世纪福音战士》电影版第 2 部中解答。
狮子王,(1994),1995-07-15 (CN),动画、家庭、剧情,1h 29m,83,英语,"{'罗杰·艾勒斯': 'Director', '罗布·明科夫': 'Director', '艾琳·梅奇': 'Screenplay', '琳达·伍尔弗顿': 'Screenplay', '乔纳森·罗伯茨': 'Screenplay', 'Thom Enriquez': 'Story', '伯尼·马丁森': 'Story', 'Jørgen Klubien': 'Story', '克里斯·桑德斯': 'Story', 'Larry Leker': 'Story', '乔·兰福特': 'Story', 'Jim Capobianco': 'Story', 'Mark Kausler': 'Story', '弗朗西斯·格勒巴斯': 'Story', '里克·马基': 'Story', 'Kevin Harkey': 'Story', 'Barry Johnson': 'Story', '加里·特鲁斯代尔': 'Story', 'Andrew Gaskill': 'Story', 'Ed Gombert': 'Story', 'Lorna Cook': 'Story', 'Tom Sito': 'Story'}",辛巴是荣耀王国的小王子，他的父亲穆法沙是一个威严的国王。然而叔叔刀疤却对穆法沙的王位觊觎已久。要想坐上王位，刀疤必须除去小王子。于是刀疤利用种种借口让辛巴外出，然后伺机大开杀戒，无奈辛巴被穆法沙及时来救。在反复的算计下，穆法沙惨死在刀疤手下。刀疤一方面别有用心地劝辛巴离开，一方面派人将他赶尽杀绝。辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们抚养辛巴长成雄壮的大狮子，鼓励他回去森林复国。在接下来一场复国救民的斗争中，辛巴真正长成一个坚强的男子汉，领会了责任的真谛。
光荣之路,(1957),1957-12-20 (US),战争、剧情,1h 27m,83,英语,"{'斯坦利·库布里克': 'Director, Screenplay', '汉弗莱·科布': 'Novel', '考尔德·威林厄姆': 'Screenplay', '吉姆·汤普森': 'Screenplay'}",斯坦利·库布里克执导，堪称影史最具震撼力的反战电影之一。柯克·道格拉斯以炽烈演技诠释第一次世界大战期间一位法国上校的形象——当他的士兵因未能完成不可能的任务而被控怯战时，他毅然与军队高层的冷酷权威展开正面对抗。这部以精湛摄影呈现的沉郁之作，精准剖解了军事机器的荒谬本质与非人性化机制（这一主题将持续贯穿库布里克的创作生涯）。从压抑的战壕对峙到扣人心弦的法庭高潮，直至摧人心魄的结局场景，全片以这位传奇导演标志性的精准掌控力层层推进，铸就了这部不朽杰作。[标准收藏公司]
七号房的礼物,(2019),2020-10-15 (CN),剧情,2h 12m,83,土耳其语,"{'Mehmet Ada Öztekin': 'Director', 'Kubilay Tat': 'Screenplay', 'Özge Efendioğlu': 'Writer'}",梅莫（阿拉斯·布鲁特·伊涅姆利 Aras Bulut Iynemli 饰）虽然生得人高马大，但却只有相当于6岁孩童一般的智慧，他带着女儿奥瓦（妮莎·索菲亚·阿克松古尔 Nisa Sofiya Aksongur 饰），同奶奶法蒂玛（塞利尔·托扬·乌伊萨尔 Celile Toyon Uysal 饰）生活在一起，日子虽然过得紧巴巴的，但一家人能够团聚就是最大的快乐。  哪知道某日祸从天降，连一只蚂蚁都不愿意踩死的梅莫，竟然背负上了莫须有的杀人罪名，被关进了七号牢房中，单纯的梅莫并不知道自己即将面临怎样悲惨的命运。在监狱里，梅莫很快就和他的狱友们成为了朋友，梅莫开朗乐观的性格感染了周围的每一个人，给他们带来了快乐和希望，为了回报梅莫，这些曾经“穷凶极恶”的罪人们决定用他们的性命为筹码，来实现梅莫一个希冀已久的愿望。
城市之光,(1931),1931-03-07 (US),喜剧、剧情、爱情,1h 27m,82,英语,"{'查理·卓别林': 'Director, Screenplay', '哈里·卡尔': 'Screenplay', '哈里·克罗克': 'Screenplay'}",这部查理·卓别林最受珍爱的作品，亦是其流浪汉形象的终极篇章。在这部无声影片中，身兼编剧、导演与主演的卓别林达到了悲喜交融的新境界：可爱的流浪汉爱上街头卖花的失明少女（弗吉尼亚·切瑞尔诠释出魔幻般的纯真），却被女孩误认为百万富翁。尽管这部大萧条时期的轰动之作诞生于有声时代来临之后，卓别林仍毅然坚守对默片艺术表现力的热爱。最终成就了他个人艺术的巅峰，亦加冕为默片喜剧的不朽丰碑。
黑客帝国,(1999),2000-01-14 (CN),动作、科幻,2h 16m,82,英语,"{'拉娜·沃卓斯基': 'Director, Writer', '莉莉·沃卓斯基': 'Director, Writer'}",不久的将来，网络黑客尼奥对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂，并见到了黑客组织的首领墨菲斯。墨菲斯告诉他，现实世界其实是由一个名叫“母体”的计算机人工智能系统控制，人们就像他们饲养的动物，没有自由和思想，而尼奥就是能够拯救人类的救世主。可是，救赎之路从来都不会一帆风顺，到底哪里才是真实的世界？如何才能打败那些超人一样的特勤？尼奥是不是人类的希望？这是黑客的帝国，程序和代码欢迎大家的到来。
洞,(1960),1960-03-18 (FR),剧情、惊悚、犯罪,2h 12m,82,法语,"{'雅克·贝克': 'Director, Screenplay', '何塞·乔凡尼': 'Novel, Screenplay', '让·奥雷尔': 'Screenplay'}",在巴黎的一间牢房里，五名囚犯用尽全部的坚韧与智慧，试图通过精心挖掘的隧道重获自由。根据若泽·乔瓦尼的小说改编，雅克·贝克的这部影片在诗意的人文关怀与紧绷得令人窒息的危险氛围间取得了精妙的平衡。
边境奇袭,(2025),2025-02-28 (MX),动作、冒险、惊悚,1h 25m,82,西班牙语,"{'Chava Cartas': 'Director', 'José Rubén Escalante Méndez': 'Writer'}",一场人质营救行动带来了新的敌人，格雷罗上尉和他的精英士兵们必须应对残忍犯罪团伙的埋伏。
云上情歌,(2020),2020-10-09 (US),音乐、剧情,2h 1m,82,英语,"{'卡拉·霍尔顿': 'Screenplay, Story', '贾斯汀·贝尔杜尼': 'Director', '帕特里克·科普卡': 'Story', '亚历克斯·维加': 'Story'}",美国男孩扎克·索比赫14岁被诊断患有骨肉瘤(18岁去世)，多次手术和化疗并未遏制癌症发展，在得知自己只剩几个月寿命后，他创作了《云》这首歌，感谢自己身边的人和所经历的一切，乐观面对。
为了萨玛,(2019),2019-07-26 (US),纪录、战争,1h 36m,82,英语,"{'Edward Watts': 'Director', 'Waad al-Kateab': 'Director'}",本片既是一段深入战争女性体验的私密旅程，也是一曲波澜壮阔的史诗。这部一位年轻母亲写给女儿的深情家书，以瓦德·卡提卜的镜头穿越叙利亚阿勒颇五年起义时光，记录她在战火蔓延中坠入爱河、缔结婚姻并诞下女儿萨玛的人生轨迹。在灾难性冲突愈演愈烈之际，她的摄像机捕捉到无数关于失去、欢笑与生存的震撼片段，而瓦德本人则深陷两难抉择——是否该为保护女儿生命逃离这座城市？离去意味着抛下她已付出巨大代价的自由抗争。
海上钢琴师,(1998),2019-11-09 (CN),剧情、音乐,2h 50m,82,意大利语,"{'朱塞佩·托纳多雷': 'Director, Screenplay, Writer', '亚历山德罗·巴里科': 'Novel, Screenplay, Story'}",男主角1900（人名）是一个被人遗弃在蒸气船上的孤儿，被船上一位好心的烧炉工收养，然而好人不得好报，烧炉工在一次意外中死亡，只有8岁大的1900又再度成为了孤儿。过人的天赋使他无师自通成了一名钢琴大师，但宿命也令他天然地对红尘俗世深怀戒意，他从不敢离船上岸去，只因纽约无际的高楼和川流不息的人群令他迷失自我。纵使后来遇上了一位一见钟情的少女，他思量再三后，还是放弃了上岸寻找初恋情人的冲动...
复仇者联盟3：无限战争,(2018),2018-05-11 (CN),冒险、动作、科幻,2h 36m,82,英语,"{'基思·吉芬': 'Characters', '斯坦·李': 'Characters', '拉里·利伯': 'Characters', '唐·赫克': 'Characters', '杰克·柯比': 'Characters', '史蒂夫·甘': 'Characters', '史蒂夫·恩格尔哈特': 'Characters', '乔·西蒙': 'Characters', '吉姆·斯特林': 'Characters', '比尔·曼特罗': 'Characters', '乔·罗素': 'Director', '安东尼·罗素': 'Director', '斯蒂芬·麦克菲利': 'Screenplay', '克里斯托弗·马库斯': 'Screenplay'}",随着复仇者联盟及其盟友继续保护世界免受来自任何单一英雄难以承担的威胁，一个新的危险从宇宙的阴影中浮现——灭霸。作为一个星际恶名昭彰的暴君，他的目标是收集所有六颗无限宝石，这些宝石拥有难以想象的力量，并利用它们将扭曲的意志强加于现实的每一个角落。复仇者们为此奋斗的一切都指向了这一刻——地球和整个存在的命运从未如此不确定。
复仇者联盟4：终局之战,(2019),2019-04-24 (CN),冒险、科幻、动作,3h 1m,82,英语,"{'吉姆·斯特林': 'Characters', '比尔·曼特罗': 'Characters', '基思·吉芬': 'Characters', '斯坦·李': 'Characters', '拉里·利伯': 'Characters', '唐·赫克': 'Characters', '杰克·柯比': 'Characters', '史蒂夫·甘': 'Characters', '史蒂夫·恩格尔哈特': 'Characters', '乔·西蒙': 'Characters', '乔·罗素': 'Director', '安东尼·罗素': 'Director', '斯蒂芬·麦克菲利': 'Screenplay', '克里斯托弗·马库斯': 'Screenplay'}",几近绝望的复仇者们在惊奇队长的帮助下找到灭霸归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。五年后，迷失在量子领域的蚁人意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长冰释前嫌的托尼找到了穿越时空的方法，星散各地的超级英雄再度集结，他们将分别穿越不同的时代去搜集无限宝石。与此同此，平行宇宙的灭霸察觉了他们的计划。这是一场注定要载入史册的终局之战，超级英雄们为了心中恪守的信念前仆后继……
老男孩,(2003),2003-11-21 (KR),惊悚、悬疑,2h,82,朝鲜语,"{'朴赞郁': 'Director, Screenplay', '林俊亨': 'Screenplay', '黄肇允': 'Screenplay'}",女儿生日那天，中年男子吴大修（崔岷植饰）在醉酒回家路上，突遭不明身份的人绑架失踪。就此，他毫无理由地被囚禁在一个神秘的私人监狱中。寻死未果的吴大修，每天看电视，三餐吃煎饺。通过电视，他得知妻子已遭杀害，女儿下落不明，自己更被怀疑为凶手。就此，吴大修开始锻炼身体，决心复仇，并在牢中度过漫长的15年...
牯岭街少年杀人事件,(1991),1991-07-27 (TW),犯罪、剧情、爱情,3h 57m,82,汉语,"{'杨德昌': 'Director, Writer', '赖铭堂': 'Writer', '杨顺清': 'Writer', '鸿鸿': 'Writer'}",这部由杨德昌执导的台湾电影杰作，被誉为当代影坛最受推崇与渴求的作品之一。影片以六十年代初的台湾为背景，改编自一起震动全岛的真实案件。这部兼具宏大格局与私密情感的巨作，以小说般的笔触与沉静的凝视，聚焦一位少年（张震的银幕首秀）从纯真逐渐无可挽回地滑向犯罪深渊的过程，并交织着躁动青春、摇滚乐与政治动荡的压抑时代底色。
GIVEN 被赠与的未来 剧场版,(2020),2020-08-22 (JP),动画、剧情、音乐、爱情,59m,82,日语,"{'山口光': 'Director', '绫奈由仁子': 'Screenplay'}",高中生上山立夏热爱演奏吉他，与春树和秋彦合组一个小乐队。某个午休，他意外帮佐藤真冬修好吉他弦后，被真冬拜托教吉他，而后又在听到真冬的歌声后邀请他加入乐队。立夏在相处的过程中渐渐喜欢上真冬，真冬有一个彼此互相喜欢并支持的青梅竹马，但那个人却自杀了，因那个人喜欢吉他，真冬才一直很想学。那个人没有做到的事，没有坚持的陪伴，立夏都帮他实现了，真冬也开始慢慢喜欢上立夏。另外一对CP春树和秋彦，春树一直默默喜欢着秋彦，为他留着长发，但秋彦却与极具音乐才华的小提琴家雨月同居在一起。动画影集以高中生的真冬与立夏两人间悲伤恬淡的爱情为主轴，首部剧场版则为大人组三人的春树、秋彦、雨月，炽热的三角恋拉开序幕。
天地玄黄,(1992),1993-11-19 (US),纪录,1h 37m,82,英语,"{'罗恩·弗里克': 'Director, Writer', '康斯坦丁·尼古拉斯': 'Writer', '吉纳维芙·尼古拉斯': 'Writer', '马克·马吉德森': 'Writer'}",我们是谁？从哪里来？又将归往何处？这些问题和我们的生存息息相关，但却很少有人能够给出准确的答案。历时14个月，穿越24个国家，导演罗恩·弗里克（Ron Fricke）用镜头向我们展示了大自然能够拥有的最壮阔最绚丽的景致——从远古到现在，从猿猴到人类，从荒无人烟的沙漠到震撼人心的宗教活动现场，从广袤天地带来的感动到婴孩单纯的笑脸给予的幸福，我们会发现，很多时候，我们并不能意识到，这美好的一切正时时刻刻的发生在我们身边。全片没有台词，片名Baraka在古伊斯兰语中代表祝福，这也是导演拍摄此片的初衷，祝福与我们共同存在在这颗蔚蓝地球上的一切。
妥瑞氏与我,(2025),2025-09-22 (GB),剧情、历史,2h 1m,82,英语,"{'柯克·琼斯': 'Director, Writer'}",本片根据社会活动家约翰·戴维森的真实人生经历改编。讲述他从20世纪80年代英国一名被误解的少年，成长为致力于推动人们理解与接纳妥瑞氏综合症的倡导者的故事。约翰在十五岁时被确诊，在逆境中艰难度过动荡的青春期，一步步走向成年。在他人善意的鼓舞下，他找到了人生真正的意义与方向。
青春猪头少年不会梦到怀梦美少女,(2019),2019-06-15 (JP),动画、爱情、剧情、奇幻,1h 30m,82,日语,"{'增井壮一': 'Director', '鸭志田一': 'Novel', '横谷昌宏': 'Screenplay'}",居住在天空与海洋辉映的城镇“藤泽”的梓川咲太，就读高中二年级。
拯救大兵瑞恩,(1998),1998-11-13 (CN),战争、剧情、历史,2h 49m,82,英语,"{'史蒂文·斯皮尔伯格': 'Director', '罗伯特·罗达特': 'Writer'}",成功登陆诺曼底后，约翰·米勒上尉带领一队士兵深入敌后，寻找一名三个兄弟均已阵亡的伞兵。
我想吃掉你的胰脏,(2018),2019-01-18 (CN),动画、剧情、爱情,1h 49m,82,日语,"{'牛岛新一郎': 'Director, Screenplay', '住野夜': 'Novel'}",“没有名字的我，没有未来的她” 对他人毫无兴趣，总是独自一人读书的高中生“我”。这样的“我”有一天，偶然捡到一册写着《共病文库》的文库本。那是，天真烂漫的班上人气王·山内樱良私下记录的日记本。里面记载着她身患胰脏的疾病，已经时日无多……。隐藏自己的疾病度过日常的樱良，与知晓其秘密的“我”。— 两人的距离，还没有名字。
角斗士,(2000),2000-08-12 (CN),动作、剧情、冒险,2h 35m,82,英语,"{'大卫·弗兰佐尼': 'Screenplay, Story', '雷德利·斯科特': 'Director', '约翰·洛根': 'Screenplay', '威廉·尼科尔森': 'Screenplay'}",马克西蒙斯是罗马帝国战功显赫，受人拥戴的大将军。老国王马库斯·奥利利乌斯对大将军赏识有加，有意加冕于他。老国王对将军这种超越亲情的宠爱自然招来太子康莫迪乌斯的妒忌与不安，太子伺机杀害父亲，抢先登上王位，并马上下令诛杀大将军一家。马克西蒙斯死里逃生躲过暴君的魔爪，可是他所有的家人都未能幸免于难，返回家园，他只看到满目疮痍的破败景象。走投无路的马克西蒙斯只能投身为奴，从昔日的大将军沦为一名角斗士，在血腥厮杀中苟且求生。凭借英勇的气魄和高超的武艺，马克西蒙斯渐渐脱颖而出，晋级到罗马的大角斗场。这一次，他的剑直指暴君康莫迪乌斯，失去亲人的痛苦，沦为奴隶的屈辱，在马克西蒙斯的内心燃起了熊熊怒火。
绿皮书,(2018),2019-03-01 (CN),剧情、喜剧、历史,2h 10m,82,英语,"{'彼得·法雷利': 'Director, Writer', 'Nick Vallelonga': 'Writer', '布莱恩·海耶斯·库里': 'Writer'}",托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里 Mahershala Ali 饰）的黑人钢琴家提出雇佣托尼。唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。
一年中的生活,(2020),2020-11-27 (US),剧情、爱情,1h 47m,82,英语,"{'Mitja Okorn': 'Director', '杰弗里·阿迪斯': 'Writer', 'Will Matthews': 'Writer'}",泰伦斯·霍华德(《嘻哈帝国》)确认加盟加盟新片[一年中的生活](Life In A Year，暂译)。该片将由Mitja Okorn执导，讲述一个17岁的男孩，在发现患有癌症的女朋友只剩下一年的生命后，决定在她还没离去的这一年给她一个完整的人生。贾登·史密斯、卡拉·迪瓦伊加盟主演，泰伦斯饰贾登的父亲。
超级马力欧银河大电影,(2026),2026-04-03 (CN),家庭、喜剧、冒险、奇幻、动画,1h 38m,82,英语,"{'迈克尔·杰勒尼克': 'Director', '亚伦·霍瓦特': 'Director', '马修·福格尔': 'Screenplay'}",重返奇妙世界，探索浩瀚宇宙，罗莎塔公主、酷霸Jr.、耀西等更多惊喜角色登场，开拓更宏大酷炫的版图，呈现更精彩纷呈的冒险。
男孩、鼹鼠、狐狸和马,(2022),2022-12-02 (GB),动画、家庭、剧情、冒险,35m,82,英语,"{'Peter Baynton': 'Director', 'Charlie Mackesy': 'Director', 'Jon Croker': 'Writer'}",查理·麦克西的同名绘本改编的手绘动画，关于善良、友谊、勇气和希望，通过一段辛酸而真挚的旅程，讲述了一个男孩、一只鼹鼠、一只狐狸和一匹马，四个孤独的灵魂在寻找家的过程中结伴而行，并在彼此身上找到了自己存在的意义。
克劳斯：圣诞节的秘密,(2019),2019-11-08 (ES),动画、家庭、喜剧,1h 37m,82,英语,"{'塞尔吉奥·巴勃罗斯': 'Director, Screenplay', 'Zach Lewis': 'Screenplay', 'Jim Mahoney': 'Screenplay'}",贾斯帕（詹森·舒瓦兹曼饰）被认为是邮政学院最差的学生，他驻扎在北极圈内的一个冰冻岛屿上，那里的当地人之间几乎不交流，更不用说写信了。当贾斯帕准备放弃之时，他找到了自己的盟友阿尔娃（当地的一名教师，拉什达·琼斯饰），并发现了克劳斯（奥斯卡奖得主 J·K·西蒙斯饰），克劳斯是一个神秘的木匠，独自住在一个满是手工玩具的小屋里。这几段不可思议的友谊让斯密伦斯堡又重新充满了欢声笑语，创造出了新的故事，这里有慷慨的邻居、神奇的传说和小心翼翼挂在烟囱上的长袜。《克劳斯：圣诞节的秘密》是一部节日喜剧动画片，由《神偷奶爸》联合创剧人塞尔希奥·巴勃罗斯担任导演，由琼·库萨克、威尔·萨索和诺曼·麦克唐纳徳联袂主演。
单向乐队：这就是我们,(2013),2013-08-30 (US),纪录、音乐,1h 32m,82,英语,{'Morgan Spurlock': 'Director'},继贾斯汀-比伯、凯蒂-佩瑞之后，英国当红偶像团体“单向乐队”(One Direction)也将拥有自己的3D音乐会纪录片，索尼公司今天宣布这部名为《单向乐队》(One Direction)的3D纪录电影将于2013年8月30日上映，索尼旗下三星影业(TriStar Pictures)将负责发行。
比莉·艾利什：模糊世界,(2021),2021-02-26 (US),纪录、音乐,2h 20m,82,英语,"{'R. J. Cutler': 'Director, Writer'}",熟悉的歌声响起，从小到大的她的影像出现，聚焦这个尚未满19岁的年轻歌手的崛起、她那些改变了自己和许多人人生的音乐、她台前幕后的生活。
狼的孩子雨和雪,(2012),2012-07-21 (JP),动画、家庭、剧情、奇幻,1h 57m,82,日语,"{'细田守': 'Director, Screenplay', '奥寺佐渡子': 'Screenplay'}",在某国立大学念书的花（宫崎葵 配音）与偶然来校旁听的男子（大泽隆夫 配音）坠入爱河，即使对方是一名狼人，她也义无反顾投入对方怀抱。此后的岁月里，花先后生下女儿小雪和儿子小雨。谁知厄运突然降临，温柔的丈夫撒手人寰。柔弱而坚强的花竭尽全力抚养两个孩子长大，吃穿用度，衣食住行 ，无一不牵扯她的心思。而子女狼人的身份也迫使他们离开繁华大都市，前往宁静的山野乡村求生。他们在一栋古旧的民房内落脚，小雪顽劣张扬，小雨纤细内敛，姐弟俩以狼的身姿穿行于深山密林，享受着前所未有的快乐与自由。在此期间，以韭崎爷爷（菅原文太 配音）为代表的村民也给花一家带来无微不至的关怀。小雪和小雨渐渐长大，他们也终于迎来决定身份和前路的重要时刻……
安逸人生,(1962),1962-12-05 (IT),剧情、喜剧、冒险,1h 45m,82,意大利语,"{'迪诺·里西': 'Director, Screenplay, Story', '鲁杰罗·马卡里': 'Screenplay, Story', '埃托雷·斯科拉': 'Screenplay, Story'}",1962年的夏天，罗伯托和布鲁诺结伴去托斯卡纳地区游玩，这两人的性格年龄都大相径庭。罗伯托是个羞涩内向的学生，而布鲁诺则是个精力旺盛、反复无常的中年人。在旅途中两人慢慢熟悉了解，布鲁诺成功人士和上流社会的派头让罗伯托心生艳羡，但同时他也看到了布鲁诺空虚、肤浅和不快乐的另一面。
无耻混蛋,(2009),2010-10-14 (CN),剧情、惊悚、战争,2h 33m,82,英语,"{'昆汀·塔伦蒂诺': 'Director, Writer'}",故事分五章进行。二战中德占法国，德军上校汉斯（克里斯托弗·瓦尔兹 Christoph Waltz 饰）号称“犹太猎人”，在一次屠犹行动中，少女苏珊娜（梅勒尼·劳伦特 Mélanie Laurent 饰）侥幸逃脱。与此同时，八名美国犹太士兵在中尉奥尔多（布拉德·皮特 饰） 的带领下潜入德占法国刺杀德国军人，其行动神出鬼没，手法残忍，对德军造成相当威胁，被称为“杂种”。三年后苏珊娜来到巴黎继承了姑母的电影院，结识了德国战斗英雄，电影《国家荣耀》的主演弗里德里克（丹尼尔·布鲁赫 Daniel Brühl 饰）。对苏珊娜一见钟情的弗里德里克说服德国宣传部长约瑟夫·戈培尔（西尔维斯特·格洛斯 Sylvester Groth 饰）在苏珊娜的影院首映《国家荣耀》，希特勒（马丁·乌特克 Martin Wuttke 饰）本人也将出席。苏珊娜决定借放映之机烧毁影院；而在德国间谍女演员布里奇特（戴安娜·克鲁格 Diane Kruger 饰）的安排下，英美联合的刺杀行动“奇诺”也将在首映当晚行动……
鬼灭之刃：无限列车篇,(2020),2020-10-16 (JP),动画、动作、奇幻,1h 57m,82,日语,{'外崎春雄': 'Director'},炭治郎等人完成蝴蝶屋的训练，下一个目的地是开往黑暗的无限列车。以多人行踪不明的这辆列车为舞台，炭治郎带着祢豆子与善逸、伊之助一行人，与鬼杀队最强剑士〝柱〞其中之一炎柱炼狱杏寿郎会合，新的任务即将开始！
五尺天涯,(2019),2019-10-18 (CN),爱情、剧情,1h 56m,82,英语,"{'贾斯汀·贝尔杜尼': 'Director', '托拜厄斯·伊康尼斯': 'Writer', '米琪·多特里': 'Writer'}",17岁女孩Stella和男孩Will身患囊肿性纤维化疾病，他们在医院治疗的过程中相识相爱，两人必须抓紧每分每秒活着的时间。他们的爱情能够战胜疾病和死亡吗？
防弹少年团世界巡回演唱会：在首尔爱自己,(2019),2019-01-26 (KR),音乐、纪录,1h 53m,82,朝鲜语,{'Son Sung-deuk': 'Director'},"在 BTS 世界巡回演唱会 ""Love Yourself ""期间于首尔奥林匹克体育场拍摄，以庆祝这个全球男孩组合的七名成员及其前所未有的国际现象。"
穿靴子的猫2,(2022),2022-12-23 (CN),动画、冒险、奇幻、喜剧、家庭,1h 43m,82,英语,"{'汤米·斯威德洛': 'Screenplay, Story', '乔尔·克劳福德': 'Director', '保罗·费舍尔': 'Screenplay', '汤姆·惠勒': 'Story'}",时隔11年，臭屁自大又爱卖萌的猫大侠回来了！如今的猫大侠（安东尼奥·班德拉斯 配音），依旧幽默潇洒又不拘小节、数次“花式送命”后，九条命如今只剩一条，于是不得不请求自己的老搭档兼“宿敌”——迷人的软爪妞（萨尔玛·海耶克 配音）来施以援手来恢复自己的九条生命。
砂之女,(1964),1964-02-15 (JP),剧情、惊悚,2h 3m,82,日语,"{'安部公房': 'Novel, Screenplay', '敕使河原宏': 'Director'}",一个昆虫学家（冈田英次 饰）在沙漠做野外考察，却不慎错过归程班车，被困在一个沙漠中的小村子里。他落脚在一个寡妇（岸田今日子 饰）家，被招待之后发现通往外界的路已经被封住。他慢慢观察村子的各种古怪，比如全部村民每到夜晚都要出动铲沙，以免居住的房屋被沙子埋掉，所有的水都受到管制，实行配给制使用等。收留他的寡妇开始用身体诱惑他，试图和他重组一个家庭，他几次三番尝试逃走都以失败告终，只好表面上虚与委蛇，进入村子定期劳动、享受配给的生活模式，但他内心始终在做逃走的打算。一日，寡妇突发急病，被医生诊断为意外怀孕，大家手忙脚乱带她去送医，男人终于有了千载难逢的逃走机会……
致命魔术,(2006),2006-11-10 (GB),剧情、悬疑、科幻,2h 10m,82,英语,"{'克里斯托弗·诺兰': 'Director, Screenplay', '克里斯托弗·普里斯特': 'Novel', '乔纳森·诺兰': 'Screenplay'}",19世纪末，人们对科学文明的认知还不太清楚，于是，安吉尔和伯登凭借魔术，成为了伦敦城内的神奇人物。安吉尔出身贵族，魔术手段华丽丰富，是富人圈子里的表演常客。而伯登即使出身平平，争强好胜的心智和充满创造力的魔术技巧，却也令他有了名气。两人自小便是要好的伙伴，然而，现在魔术界二人各有领地，并且都有野心想成为顶级魔术师，一番明争暗斗如箭在弦上。伯登掌握了精彩的分身术，叫座又叫好。而安吉尔见情势不妙，搬来科学家助阵——他发明的交流电有无穷魔力，保证让观众目瞪口呆。二人出招接招，一来一往，争斗在剧烈升级，友谊和道德都被抛诸脑后，一场血案在悄悄酝酿。
控方证人,(1957),2025-11-28 (CN),剧情、悬疑、犯罪,1h 56m,82,英语,"{'比利·怀尔德': 'Director, Screenplay', '阿加莎 克里斯蒂': 'Novel', '哈里·库尔尼茨': 'Screenplay'}",本片改编自阿加莎·克里斯蒂同名小说。  伦敦著名刑案辩护律师韦菲爵士接受了心脏病治疗，但是身体依旧虚弱，第一天回家休养，护士一直严厉监督他服药，并杜绝烟酒。管家为了便于上楼，还专门为他修了电梯。但是，种种关心照顾，对于这位桀骜不驯、牙尖嘴利的大律师根本不起作用，反倒是一纸诉状令他倍感兴奋。律师梅休和当事人沃尔登门拜访，请他出山打官司。原来，沃尔结识了富婆，两人相见甚欢，虽然仆人对他发明的打蛋器充满鄙夷，但是富婆却对他充满爱意，甚至为他修改了遗嘱，把8万英镑留给了他。然而，富婆却惨遭毒手。于是，沃尔成为警方的头号嫌疑犯。他的唯一证人是妻子克里斯汀，然而后者登门时的冷漠与淡定，令韦菲爵士怀疑这其中另有隐情。在扑朔迷离的案件背后，隐藏着一个个环环相扣、不可告人的秘密……
